YearsExperience,Salary
0.6,36274.93
0.6,45026.47
0.6,36147.76
0.7,33865.03
0.7,37412.88
0.7,33017.88
0.7,35462.04
0.8,38760.13
0.8,38380.93
0.8,31451.44
0.9,42496.6
0.9,32057.76
1.0,47282.15
1.0,49599.81
1.0,38763.5
1.0,41671.67
1.0,38040.07
1.1,36811.83
1.1,39363.85
1.2,49461.33
1.2,34501.64
1.2,53277.49
1.2,32236.35
1.3,34954.07
1.3,46216.81
1.3,41322.77
1.4,40963.32
1.4,35715.79
1.4,37493.74
1.4,46772.91
1.4,37905.42
1.5,44478.21
1.5,42214.9
1.6,39258.72
1.6,47435.49
1.6,45492.21
1.7,44073.0
1.8,54446.13
1.9,45513.99
1.9,49856.89
1.9,63158.1
1.9,38555.19
1.9,57191.28
1.9,61323.94
2.0,55142.88
2.0,46483.58
2.0,52364.01
2.0,42518.88
2.1,51408.18
2.1,45445.86
2.1,58113.61
2.1,47274.91
2.2,54761.49
2.2,39469.07
2.2,59527.65
2.3,46839.03
2.3,41777.04
2.3,58466.66
2.3,52855.88
2.3,57563.29
2.3,52036.24
2.3,57352.34
2.4,57623.64
2.4,51268.09
2.4,50780.02
2.5,55713.25
2.5,57586.57
2.5,58860.14
2.5,55634.39
2.6,49149.77
2.6,45897.6
2.7,48895.53
2.7,54167.95
2.8,53944.67
2.8,56750.43
2.8,58331.06
2.8,54846.8
2.8,46989.42
2.8,54967.56
2.8,55706.33
2.8,57868.48
2.9,50572.92
3.0,60569.2
3.2,57256.91
3.2,56769.86
3.2,52618.51
3.2,55795.59
3.3,60228.78
3.3,64294.61
3.5,55258.72
3.5,62905.56
3.6,59873.14
3.6,58114.91
3.6,52358.54
3.7,67219.04
3.7,66206.85
3.8,62996.21
3.8,60513.18
3.9,74494.7
3.9,55333.46
3.9,60111.32
4.0,55030.65
4.0,69149.05
4.0,60988.31
4.1,65919.31
4.1,61223.44
4.1,64927.52
4.1,67616.33
4.2,71776.16
4.3,65469.84
4.3,60738.31
4.3,61612.39
4.4,60986.17
4.4,58242.37
4.6,74927.99
4.7,71531.56
4.8,64183.45
4.9,72355.15
4.9,67964.59
4.9,71767.51
4.9,78092.77
5.0,79377.18
5.1,66648.09
5.1,58125.96
5.2,66226.61
5.2,70324.94
5.2,60278.76
5.3,72854.28
5.3,79228.16
5.4,74144.47
5.4,82019.69
5.4,77213.05
5.5,68092.08
5.5,74701.3
5.7,79639.01
5.8,71590.66
5.8,75057.49
5.9,77740.69
5.9,77389.67
6.0,74332.53
6.0,81678.24
6.0,77855.26
6.0,88551.13
6.0,74179.88
6.0,87530.51
6.1,75414.37
6.1,71178.69
6.1,82432.26
6.2,80168.66
6.2,84167.44
6.2,73935.15
6.2,83065.67
6.2,79965.7
6.2,80301.63
6.4,79710.7
6.4,81108.84
6.4,76106.26
6.6,81007.22
6.6,91799.28
6.6,81038.26
6.7,83022.45
6.7,83506.87
6.7,83911.05
6.7,85602.9
6.7,76117.07
6.8,88742.83
6.8,90382.8
6.8,87643.2
6.8,86948.48
6.8,87347.65
6.8,71299.43
6.9,82137.49
7.0,82482.24
7.1,87097.36
7.1,94391.96
7.1,87981.73
7.1,90252.63
7.2,75630.32
7.3,93235.14
7.3,85275.92
7.4,85360.22
7.4,88908.25
7.5,88382.2
7.5,103153.48
7.5,83174.33
7.5,95993.55
7.6,85522.07
7.6,92549.41
7.7,96458.05
7.7,93613.9
7.7,98668.24
7.7,88890.18
7.8,90969.23
7.8,96820.36
7.8,93039.66
7.8,90750.62
7.8,76579.67
7.8,88848.97
7.8,88104.88
8.0,85165.73
8.0,93003.25
8.0,90806.87
8.1,95336.29
8.1,94347.22
8.1,94813.68
8.2,87849.81
8.3,95837.15
8.5,92326.11
8.5,96625.53
8.5,94838.65
8.6,99675.04
8.7,97433.01
8.8,98083.69
8.8,97490.96
8.8,99479.05
8.8,103773.77
8.9,102438.22
8.9,96604.64
9.0,95519.32
9.1,108478.38
9.1,102313.73
9.1,108047.47
9.2,98401.75
9.4,99833.14
9.4,106301.99
9.4,99316.65
9.4,106593.88
9.5,117298.13
9.6,106223.25
9.6,102235.22
9.7,103470.3
9.7,105779.76
9.7,106751.7
10.0,103827.09
10.1,108951.36
10.1,102464.53
10.1,111431.51
10.1,107821.39
10.1,102799.66
10.2,109868.47
10.2,112213.28
10.3,113151.72
10.3,110568.16
10.3,106152.28
